station_id,desc,did_bin,q_pre,q_post,delta_q,edge_i,snap_m,is_tac2020_other,q_assigned_pre,q_assigned_fixed,delta_q_simulated_fixed,delta_q_residual
4086,JARDINS SALVADOR ESPRIU -DIAGONAL  (sentit Llobregat),500_1000m,11641.0,10222.347826086956,-1418.652173913044,56553,9.3,False,19521.41914421293,19521.41914421293,0.0,-1418.652173913044
4054,LEPANT - DIPUTACIÓ  (sentit mar),500_1000m,18614.714285714286,18081.35,-533.3642857142877,29270,1.4,False,22989.77141324787,22989.77141324787,0.0,-533.3642857142877
2001,PARÍS - VILADOMAT (sentit Besòs),500_1000m,9399.0,11521.91304347826,2122.91304347826,658,0.7,False,152.99804822538482,441.659723683682,288.66167545829717,1834.251368019963
4096,ROSSELLÓ - ARIBAU (sentit Besòs),500_1000m,7768.142857142857,7560.541666666667,-207.6011904761899,1140,4.5,False,6828.87272693517,6828.87272693517,0.0,-207.6011904761899
4039,ROSSELLÓ - BALMES (sentit Besòs),500_1000m,14054.857142857143,13764.375,-290.4821428571431,53038,0.9,False,6828.87272693517,6828.87272693517,0.0,-290.4821428571431
5020,ALMOGÀVERS - ROGER DE FLOR  (sentit Llobregat),500_1000m,3798.857142857143,3744.7391304347834,-54.11801242236015,28782,2.4,False,3800.8058084654344,3800.8058084654344,0.0,-54.11801242236015
4076,ARAGÓ - PADILLA (sentit Llobregat),500_1000m,41140.142857142855,33760.181818181816,-7379.961038961039,52919,5.2,True,44071.52012154443,39782.8620847012,-4288.658036843233,-3091.3030021178056
3030,VILADOMAT - PARLAMENT  (sentit mar),500_1000m,7359.142857142857,10332.2,2973.057142857144,33654,1.3,False,6736.832831431647,6736.832831431647,0.0,2973.057142857144
4006,PARÍS - VILLARROEL,500_1000m,11630.285714285714,28201.041666666668,16570.755952380954,31924,0.7,False,152.99804822538482,441.659723683682,288.66167545829717,16282.094276922657
5018,PG. LLUÍS COMPANYS - REC COMTAL (Baixada),500_1000m,14789.4,15855.0,1065.6000000000004,31002,0.6,False,0.0,0.0,0.0,1065.6000000000004
6007,INDÚSTRIA - NÀPOLS  (sentit Besòs),1_2km,4229.0,3806.1666666666665,-422.8333333333335,46214,0.8,True,0.0,0.0,0.0,-422.8333333333335
4094,VILLARROEL - PARÍS  (sentit mar),500_1000m,10887.57142857143,11060.583333333334,173.0119047619046,33355,2.3,False,8488.38837564256,8488.38837564256,0.0,173.0119047619046
4037,GRAN VIA - LEPANT (Besòs),500_1000m,36152.57142857143,38782.65217391304,2630.080745341613,38952,1.9,True,33274.40344823639,33274.40344823639,0.0,2630.080745341613
3029,RONDA DE SANT PAU - MARQUES DE CAMPO SAGRADO  (sentit muntanya),500_1000m,13699.0,12991.916666666666,-707.0833333333339,30151,0.2,False,0.0,0.0,0.0,-707.0833333333339
4055,PADILLA - GRAN VIA  (sentit muntanya),500_1000m,11948.142857142857,17094.0,5145.857142857143,56121,1.0,False,13900.848427027964,13900.848427027964,0.0,5145.857142857143
4007,AV. DIAGONAL - RAMBLA CATALUNYA (Baixada),500_1000m,16851.0,16558.25,-292.75,30217,20.2,False,19940.107301611766,19940.107301611766,0.0,-292.75
4003,ARIBAU - CÒRSEGA  (sentit muntanya),500_1000m,19737.0,22039.434782608696,2302.434782608696,32464,0.1,False,0.0,0.0,0.0,2302.434782608696
4011,CASANOVA - PARÍS  (sentit muntanya),500_1000m,16509.285714285714,14872.666666666666,-1636.6190476190477,714,0.1,False,8258.360545424479,8258.360545424479,0.0,-1636.6190476190477
4012,LONDRES - CASANOVA,1_2km,4394.6,4377.958333333333,-16.641666666667334,30558,3.2,False,0.0,0.0,0.0,-16.641666666667334
3032,COMTE BORRELL- MARQUÈS DE CAMPO SAGRADO  (sentit mar),1_2km,2914.8571428571427,3043.0,128.14285714285734,45610,0.2,False,0.0,0.0,0.0,128.14285714285734
6008,SANT ANTONI MARIA CLARET - SICÍLIA  (sentit Llobregat),1_2km,21402.33333333333,21970.13333333333,567.8000000000029,59798,0.6,False,5160.327338348732,7813.59158837974,2653.2642500310076,-2085.4642500310047
4001,URGELL - BUENOS AIRES  (sentit mar),1_2km,9491.0,6040.826086956522,-3450.173913043478,60079,1.4,False,0.0,0.0,0.0,-3450.173913043478
3007,GRAN VIA - FARELL (Sortida),1_2km,45696.28571428572,42433.17391304348,-3263.1118012422376,56606,18.5,True,48707.21137885364,45643.853313829204,-3063.358065024433,-199.75373621780454
4005,AV. DIAGONAL - RAMBLA CATALUNYA (Pujada),1_2km,11380.285714285714,12500.625,1120.3392857142862,30219,10.3,False,19940.107301611766,19940.107301611766,0.0,1120.3392857142862
4089,BÀLMES - PARÍS (baixada),500_1000m,27766.166666666668,25285.875,-2480.291666666668,32466,1.6,False,9690.575573795228,9690.575573795228,0.0,-2480.291666666668
4088,PARÍS - ARIBAU  (sentit Besòs),1_2km,12399.42857142857,10907.958333333334,-1491.4702380952367,31561,2.1,False,0.0,0.0,0.0,-1491.4702380952367
4087,MUNTANER - LONDRES  (sentit mar),1_2km,12639.142857142857,9160.625,-3478.517857142857,21564,1.8,False,5318.829682270801,5318.829682270801,0.0,-3478.517857142857
5027,PG. PUJADES - WELLINGTON (Llobregat),1_2km,2132.0,2209.478260869565,77.47826086956502,61327,0.2,False,4350.079216417891,4350.079216417891,0.0,77.47826086956502
3027,AV. PARAL·LEL - COMTE BORRELL (Muntanya),1_2km,11445.0,10380.944444444443,-1064.0555555555547,43765,1.7,False,0.0,0.0,0.0,-1064.0555555555547
5026,PG. PUJADES - ROGER DE FLOR (Besós),1_2km,4824.0,3661.55,-1162.4499999999998,46678,0.5,False,9104.005496876774,9104.005496876774,0.0,-1162.4499999999998
2004,NUMÀNCIA - MARQUES DE SENTMENAT V (sentit mar),1_2km,23720.0,24701.09523809524,981.0952380952368,31357,0.3,False,10658.616774529663,10658.616774529663,0.0,981.0952380952368
4018,AV. MERIDIANA - LEPANT (Baixada),1_2km,4901.428571428572,5761.041666666667,859.6130952380954,40799,0.3,False,10737.864417025874,10737.864417025874,0.0,859.6130952380954
4056,CONSELL DE CENT - CASTILLEJOS,1_2km,7866.285714285715,8570.125,703.8392857142853,32122,2.6,False,9013.388072154406,9013.388072154406,0.0,703.8392857142853
1015,AV. SARRIÀ - AV. JOSEP TARRADELLAS,1_2km,36414.57142857143,25947.5,-10467.071428571428,29762,0.9,False,19616.11534876487,19616.11534876487,0.0,-10467.071428571428
4014,AV. DIAGONAL - MUNTANER (Baixada),1_2km,10620.857142857143,10562.375,-58.48214285714312,53138,15.5,False,19940.107301611766,19940.107301611766,0.0,-58.48214285714312
8039,VIA AUGUSTA - LA GRANADA DEL PENEDÉS (Baixada),1_2km,6499.142857142857,5995.285714285715,-503.8571428571422,37152,0.6,False,8415.071134344927,8415.071134344927,0.0,-503.8571428571422
