seccio,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop,node_x,node_y,snap_m,snapped,egress_connector
2052,6,la Sagrada Família,Eixample,430977.3841093609,4583697.852299022,507.60456427150285,1788.0,430950.3,4583739.5,49.7,True,False
2053,6,la Sagrada Família,Eixample,430859.0825820796,4583628.208759831,462.0193774987036,1856.0,430824.3,4583632.8,35.1,True,False
2054,6,la Sagrada Família,Eixample,430746.4995300037,4583836.732940538,696.883881170716,1881.0,430723.5,4583858.7,31.8,True,False
2055,7,la Dreta de l'Eixample,Eixample,430547.79855161096,4583643.605298877,439.6091734958294,1840.0,430549.8,4583658.3,14.8,True,False
2056,7,la Dreta de l'Eixample,Eixample,430682.9628856372,4583525.985039399,413.5902206561372,1499.0,430678.6,4583525.8,4.4,True,False
2057,7,la Dreta de l'Eixample,Eixample,430446.6967660801,4583463.41364405,237.16666740304703,1267.0,430452.4,4583458.4,7.6,True,False
2058,7,la Dreta de l'Eixample,Eixample,430262.72145574365,4583552.67953299,344.69797028068706,1372.0,430257.0,4583572.0,20.1,True,False
2059,7,la Dreta de l'Eixample,Eixample,430077.8848018699,4583371.863679636,342.79509275754594,1669.0,430065.9,4583383.5,16.7,True,False
2060,7,la Dreta de l'Eixample,Eixample,430264.6242450803,4583356.713709228,177.12619955287775,1673.0,430245.1,4583393.4,41.6,True,False
2061,7,la Dreta de l'Eixample,Eixample,430804.0513800368,4583370.871563163,260.72407940091847,1344.0,430805.0,4583394.4,23.5,True,False
2062,7,la Dreta de l'Eixample,Eixample,430518.4159406407,4583278.925678641,123.22739844381448,1535.0,430521.4,4583301.2,22.5,True,False
2063,7,la Dreta de l'Eixample,Eixample,430234.463484144,4583187.897056173,163.06603768546714,1171.0,430249.5,4583195.0,16.6,True,False
2064,7,la Dreta de l'Eixample,Eixample,430359.29390894633,4583084.396107074,126.51925072922768,1300.0,430357.3,4583088.7,4.7,True,False
2065,7,la Dreta de l'Eixample,Eixample,430548.1720139657,4583081.717160155,6.780121431759931,1813.0,430594.7,4583034.3,66.4,True,True
2066,7,la Dreta de l'Eixample,Eixample,430928.6241688437,4583266.619195,106.49146995826317,1766.0,430903.5,4583292.6,36.1,True,False
2067,7,la Dreta de l'Eixample,Eixample,431022.6754634256,4583170.87608027,24.44392926357688,1656.0,430958.0,4583159.5,65.7,True,True
2068,7,la Dreta de l'Eixample,Eixample,431123.5714694124,4583076.284503094,162.19012156989857,1624.0,431116.0,4583085.0,11.5,True,False
2069,7,la Dreta de l'Eixample,Eixample,430875.413977197,4583032.187080724,64.76114863192772,1357.0,430803.9,4583015.8,73.4,True,True
2070,7,la Dreta de l'Eixample,Eixample,430595.1180289997,4582939.996174515,49.04750442526515,1270.0,430590.8,4582861.5,78.6,True,True
2071,7,la Dreta de l'Eixample,Eixample,430688.5301360808,4582844.327904207,58.579486291210216,1674.0,430764.0,4582824.2,78.1,True,True
2072,7,la Dreta de l'Eixample,Eixample,430786.5081045725,4582742.47159714,59.60413001953764,1204.0,430795.2,4582674.0,69.0,True,True
2073,7,la Dreta de l'Eixample,Eixample,431079.8830110213,4582746.844077094,172.4582730048932,1638.0,431069.4,4582741.8,11.6,True,False
2074,7,la Dreta de l'Eixample,Eixample,431270.5355897941,4582545.115774098,386.2053962562853,1282.0,431273.1,4582532.6,12.8,True,False
2075,7,la Dreta de l'Eixample,Eixample,431057.0396182298,4582374.626204102,351.42095497508745,1261.0,431053.7,4582372.4,4.0,True,False
2076,7,la Dreta de l'Eixample,Eixample,430890.09538572544,4582541.930630688,156.16822472771446,1622.0,430896.4,4582537.6,7.6,True,False
2077,7,la Dreta de l'Eixample,Eixample,430552.0804890597,4582171.420012305,411.78992511272895,1758.0,430576.1,4582201.5,38.5,True,False
