station_id,desc,lon,lat,dist_m_nearest_axis,nearest_axis,dist_m_that_axis,distance_bin,years_with_counts,n_years_with_counts,distance_metric
4062,GRAN VIA - PAU CLARIS (sentit Besós),2.17015825066685,41.390863780895,245.0,consell_de_cent,245.0,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4059,PAU CLARIS - VALÈNCIA  (sentit mar),2.16561839478567,41.3938500206669,258.4,consell_de_cent,258.4,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3031,FLORIDABLANCA - ROCAFORT  (sentit Besòs),2.15697555342451,41.3773211414533,262.9,rocafort,262.9,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4065,ROGER DE LLÚRIA - CASP  (sentit muntanya),2.17191220851891,41.3908288785469,265.0,girona,265.0,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4046,ROGER DE LLÚRIA - MALLORCA,2.16449119773735,41.3964376684823,265.6,girona,265.6,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
2014,TARRAGONA - CONSELL DE CENT (calçada Besòs),2.14733648474262,41.3770104507661,267.7,consell_de_cent,267.7,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3018,COMTE URGELL- FLORIDABLANCA,2.16047984134544,41.3807267821097,284.4,borrell,284.4,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
2015,TARRAGONA - CONSELL DE CENT (calçada Llobregat),2.147192326,41.376902176,284.7,consell_de_cent,284.7,250_500m,"2018,2019",2,euclidean_utm31n_interim
3013,VILLARROEL - GRAN VIA  (sentit mar),2.16051119824691,41.3823690318997,290.5,borrell,290.5,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4082,GRAN VIA - NÀPOLS (sentit Besós),2.17815149968645,41.3968351807915,293.1,consell_de_cent,293.1,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4063,VALÈNCIA - PAU CLARIS,2.1656298097779,41.394411551482,296.4,consell_de_cent,296.4,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4009,PG. SANT JOAN - CASP (Baixada),2.17714968432596,41.3936149393821,296.5,girona,296.5,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4034,PL. UNIVERSITAT - PELAI (Llobregat),2.16425324979824,41.3856458791412,296.8,consell_de_cent,296.8,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4042,ROSSELLÓ - AV. DIAGONAL (sentit Besòs),2.16370570249842,41.3980821322155,305.1,girona,305.1,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4073,VALÈNCIA - RAMBLA DE CATALUNYA,2.16273962226169,41.3922436021376,306.8,consell_de_cent,306.8,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4078,AV. DIAGONAL - VALÈNCIA (Baixada),2.173914881,41.40006393,313.8,consell_de_cent,313.8,250_500m,"2017,2018,2019,2020",4,euclidean_utm31n_interim
4023,GRAN VIA - VILLARROEL (sentit Besòs),2.16016961309645,41.3833263269611,314.2,consell_de_cent,314.2,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4022,PG. SANT JOAN - PROVENÇA (Pujada),2.16832144526965,41.4004685521516,315.7,girona,315.7,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4111,DIAGONAL - NÀPOLS (sentit Besòs),2.1737202246071,41.4000563952108,316.8,consell_de_cent,316.8,250_500m,"2024,2025",2,euclidean_utm31n_interim
4060,PG. SANT JOAN - AUSIÀS MARC (Pujada),2.17765894487054,41.3933623241091,332.8,girona,332.8,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4110,AV. DIAGONAL - SICILIA (sentit Llobregat),2.17388168169961,41.4003430692453,344.7,consell_de_cent,344.7,250_500m,"2024,2025",2,euclidean_utm31n_interim
4097,PG. GRÀCIA - CASP (Pujada),2.16915384037869,41.3887585646416,347.0,consell_de_cent,347.0,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4027,MUNTANER - MALLORCA  (sentit mar),2.15649696883514,41.38881165047,347.4,consell_de_cent,347.4,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
2005,ENTENÇA - PROVENÇA  (sentit muntanya),2.14534608547098,41.3836075007717,348.5,rocafort,348.5,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
2003,TARRAGONA - VALÈNCIA  (sentit mar),2.14530786309372,41.378572477309,351.6,consell_de_cent,351.6,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4008,MALLORCA - CASANOVA  (sentit Llobregat),2.15472723259061,41.3879004980236,356.9,consell_de_cent,356.9,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3015,CASANOVA - SEPÚLVEDA  (sentit muntanya),2.16165673159081,41.3832214330662,358.1,consell_de_cent,358.1,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3014,SEPÚLVEDA - CASANOVA  (sentit Llobregat),2.16147246025133,41.3824189800132,368.8,borrell,368.8,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
5013,RONDA SANT PERE - GIRONA  (sentit Llobregat),2.17644635091381,41.3902823026524,372.5,girona,372.5,250_500m,"2017,2018,2019,2020,2021,2022,2025",7,euclidean_utm31n_interim
4103,ROGER DE FLOR - MALLORCA (sentit muntanya),2.17055082321167,41.4004330484368,390.8,girona,390.8,250_500m,"2022,2023,2024,2025",4,euclidean_utm31n_interim
4044,PAU CLARIS - PROVENÇA  (sentit mar),2.16347178849809,41.3954885003117,392.8,girona,392.8,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4013,SARDENYA - CONSELL DE CENT  (sentit mar),2.17812842998448,41.3997627169729,396.1,consell_de_cent,396.1,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
5011,RONDA UNIVERSITAT - PL. CATALUNYA  (sentit Llobregat),2.16788359152789,41.387125414742,398.2,consell_de_cent,398.2,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3020,AV. PARAL·LEL - LLEIDA (Baixada),2.15475489159659,41.3749336247802,404.7,rocafort,404.7,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4100,VILADOMAT - ROSSELLÓ (sentit mar),2.148490105,41.38623099,414.1,borrell,414.1,250_500m,"2022,2023,2024,2025",4,euclidean_utm31n_interim
4091,PAU CLARIS - CASP (sentit mar),2.17155203437734,41.3893950147936,421.4,girona,421.4,250_500m,"2017,2020,2021,2022,2023,2024,2025",7,euclidean_utm31n_interim
4043,CÒRSEGA - BRUC  (sentit Llobregat),2.16253914686886,41.3989458639609,423.4,girona,423.4,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3024,ROCAFORT - TAMARIT (mar),2.15788193499247,41.3757853800346,433.1,rocafort,433.1,250_500m,"2017,2019,2020,2021,2022,2023,2024,2025",8,euclidean_utm31n_interim
3001,PG. MANUEL GIRONA - BENET I MATEU (sentit Llobregat),2.151344122,41.375071194,440.1,consell_de_cent,440.1,250_500m,"2017,2018,2019,2020,2021",5,euclidean_utm31n_interim
3026,AV. PARAL·LEL - ENTENÇA (Mar),2.156378628652,41.3749387606281,440.7,rocafort,440.7,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4069,MALLORCA - BALMES  (sentit Llobregat),2.15928875441747,41.3913375903375,442.2,consell_de_cent,442.2,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4102,ROGER DE FLOR - AUSIÀS MARC (sentit muntanya),2.178718473,41.39424292,442.2,girona,442.2,250_500m,"2022,2023,2024,2025",4,euclidean_utm31n_interim
4070,PELAI - RONDA UNIVERSITAT  (sentit Besòs),2.16682285923792,41.3857203495775,444.3,consell_de_cent,444.3,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
5019,TRAFALGAR - MENDEZ NÚÑEZ  (sentit Besòs),2.17786829912579,41.3902876037345,455.7,girona,455.7,250_500m,"2017,2018,2019,2020,2021,2022,2025",7,euclidean_utm31n_interim
3022,CREU COBERTA - PL. ESPANYA (Pujada),2.1467520255421,41.3752006812414,459.7,consell_de_cent,459.7,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3021,CREU COBERTA - BÉJAR (Baixada),2.14676982982649,41.3751288229608,465.9,consell_de_cent,465.9,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4099,BALMES - MALLORCA (baixada),2.15934927414176,41.3917902636396,473.8,consell_de_cent,473.8,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4092,ARIBAU - MALLORCA  (sentit muntanya),2.15699493900883,41.3901462977523,477.8,consell_de_cent,477.8,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4074,AV. DIAGONAL - MARINA (Pujada - Gir Aragó),2.177449769,41.401105544,481.0,consell_de_cent,481.0,250_500m,"2017,2018,2019,2020,2021",5,euclidean_utm31n_interim
4075,AV. DIAGONAL - MARINA (Pujada - Seguir a Av. Diagonal),2.177413174,41.401174682,486.3,consell_de_cent,486.3,250_500m,"2017,2018,2019,2020",4,euclidean_utm31n_interim
3005,RONDA SANT ANTONI - PL. PES DE LA PALLA (Sentit Urgell),2.163349079,41.380996415,514.2,borrell,514.2,500_1000m,2017,1,euclidean_utm31n_interim
4004,COMTE URGELL - ROSSELLÓ,2.14990520386567,41.3886720676745,515.3,borrell,515.3,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024",8,euclidean_utm31n_interim
5023,VIA LAIETANA - PL. URQUINAONA (Baixada),2.173148081,41.388176516,521.7,girona,521.7,500_1000m,"2017,2018,2019,2020,2021",5,euclidean_utm31n_interim
6026,PG. SANT JOAN - INDÚSTRIA (Baixada),2.16549561683824,41.4022539572222,528.8,girona,528.8,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4019,MARINA - DIPUTACIÓ (pujada),2.17953138379849,41.4004509378448,534.3,consell_de_cent,534.3,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4109,ARAGÓ - MARINA (sentit Llobregat),2.17747765111273,41.4017230342086,543.2,consell_de_cent,543.2,500_1000m,"2024,2025",2,euclidean_utm31n_interim
4032,VALÈNCIA - SARDENYA  (sentit Besòs),2.17592696473159,41.4021296117717,545.9,consell_de_cent,545.9,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4081,ROSSELLÓ - PG. DE GRÀCIA (sentit Besòs),2.16105455665482,41.3961020872117,547.7,girona,547.7,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
6021,MALLORCA - SARDENYA  (sentit Llobregat),2.17391122063067,41.4023331973147,562.7,consell_de_cent,562.7,500_1000m,"2017,2019,2020,2021,2022,2023,2024",7,euclidean_utm31n_interim
4050,PASSEIG DE GRÀCIA - PROVENÇA (Pujada),2.16128392270725,41.3951762991631,568.1,girona,568.1,500_1000m,"2017,2019,2020,2021,2022,2023,2024,2025",8,euclidean_utm31n_interim
3016,GRAN VIA - MÈXIC (Lateral Entrada),2.14780545152451,41.3737883667861,572.6,consell_de_cent,572.6,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024",8,euclidean_utm31n_interim
4045,PASSEIG DE GRÀCIA - ROSSELLÓ (Baixada),2.16121790070137,41.3951049670639,576.6,girona,576.6,500_1000m,"2017,2019,2020,2021,2022,2023,2024,2025",8,euclidean_utm31n_interim
4041,PROVENÇA - BALMES  (sentit Llobregat),2.15808497115376,41.3921622573913,578.1,consell_de_cent,578.1,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
