station_id,desc,lon,lat,euclid_m,network_m,snap_m,network_bin,euclid_bin,years_with_counts,distance_metric
4059,PAU CLARIS - VALÈNCIA  (sentit mar),2.16561839478567,41.3938500206669,258.4,229.2,13.9,0_250m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3031,FLORIDABLANCA - ROCAFORT  (sentit Besòs),2.15697555342451,41.3773211414533,262.9,317.3,10.2,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4065,ROGER DE LLÚRIA - CASP  (sentit muntanya),2.17191220851891,41.3908288785469,265.0,351.9,17.9,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4046,ROGER DE LLÚRIA - MALLORCA,2.16449119773735,41.3964376684823,265.6,354.9,13.2,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
2014,TARRAGONA - CONSELL DE CENT (calçada Besòs),2.14733648474262,41.3770104507661,267.7,547.0,13.1,500_1000m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3018,COMTE URGELL- FLORIDABLANCA,2.16047984134544,41.3807267821097,284.4,398.8,12.5,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
2015,TARRAGONA - CONSELL DE CENT (calçada Llobregat),2.147192326,41.376902176,284.7,547.0,20.9,500_1000m,250_500m,"2018,2019",undirected_osm_highway_utm31n
3013,VILLARROEL - GRAN VIA  (sentit mar),2.16051119824691,41.3823690318997,290.5,418.6,25.4,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4082,GRAN VIA - NÀPOLS (sentit Besós),2.17815149968645,41.3968351807915,293.1,426.7,21.3,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4063,VALÈNCIA - PAU CLARIS,2.1656298097779,41.394411551482,296.4,315.3,16.7,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4009,PG. SANT JOAN - CASP (Baixada),2.17714968432596,41.3936149393821,296.5,391.6,27.5,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4034,PL. UNIVERSITAT - PELAI (Llobregat),2.16425324979824,41.3856458791412,296.8,381.6,10.5,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4042,ROSSELLÓ - AV. DIAGONAL (sentit Besòs),2.16370570249842,41.3980821322155,305.1,379.9,2.6,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4073,VALÈNCIA - RAMBLA DE CATALUNYA,2.16273962226169,41.3922436021376,306.8,337.5,0.8,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4078,AV. DIAGONAL - VALÈNCIA (Baixada),2.173914881,41.40006393,313.8,416.0,25.0,250_500m,250_500m,"2017,2018,2019,2020",undirected_osm_highway_utm31n
4023,GRAN VIA - VILLARROEL (sentit Besòs),2.16016961309645,41.3833263269611,314.2,356.0,4.3,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4022,PG. SANT JOAN - PROVENÇA (Pujada),2.16832144526965,41.4004685521516,315.7,467.0,20.7,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4111,DIAGONAL - NÀPOLS (sentit Besòs),2.1737202246071,41.4000563952108,316.8,416.0,12.9,250_500m,250_500m,"2024,2025",undirected_osm_highway_utm31n
4060,PG. SANT JOAN - AUSIÀS MARC (Pujada),2.17765894487054,41.3933623241091,332.8,472.5,19.4,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4110,AV. DIAGONAL - SICILIA (sentit Llobregat),2.17388168169961,41.4003430692453,344.7,461.1,35.2,250_500m,250_500m,"2024,2025",undirected_osm_highway_utm31n
4097,PG. GRÀCIA - CASP (Pujada),2.16915384037869,41.3887585646416,347.0,486.0,2.4,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4027,MUNTANER - MALLORCA  (sentit mar),2.15649696883514,41.38881165047,347.4,424.6,11.3,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
2005,ENTENÇA - PROVENÇA  (sentit muntanya),2.14534608547098,41.3836075007717,348.5,428.5,2.4,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
2003,TARRAGONA - VALÈNCIA  (sentit mar),2.14530786309372,41.378572477309,351.6,468.3,15.3,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4008,MALLORCA - CASANOVA  (sentit Llobregat),2.15472723259061,41.3879004980236,356.9,394.7,19.7,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3015,CASANOVA - SEPÚLVEDA  (sentit muntanya),2.16165673159081,41.3832214330662,358.1,412.8,7.5,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
