seccio,codi_districte,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop
2036,2,6,la Sagrada Família,Eixample,431066.36872551107,4584328.791798513,1138.9862148595105,1198
2037,2,6,la Sagrada Família,Eixample,431179.64402455016,4584448.692957111,1268.9542001675727,1201
2038,2,6,la Sagrada Família,Eixample,431275.3537806132,4584538.532942101,1373.3349739051866,1525
2039,2,6,la Sagrada Família,Eixample,431065.842173693,4584514.121932703,1324.0924948690385,1756
2040,2,6,la Sagrada Família,Eixample,431066.945000922,4584701.862802528,1511.7243781874568,1671
2041,2,6,la Sagrada Família,Eixample,430921.4001943557,4584579.684675196,1391.2121543751216,1631
2042,2,6,la Sagrada Família,Eixample,430762.8416497871,4584414.45392379,1238.6872412969346,1603
2043,2,6,la Sagrada Família,Eixample,430616.1587034229,4584271.226576796,1062.4837306760564,1461
2044,2,6,la Sagrada Família,Eixample,430708.4410772073,4584176.09404819,995.179900192727,1300
2045,2,6,la Sagrada Família,Eixample,430808.46383283543,4584273.6469393745,1100.8526011940994,1166
2046,2,6,la Sagrada Família,Eixample,430921.264447043,4584394.305686571,1206.268933387561,1919
2047,2,6,la Sagrada Família,Eixample,430922.0194010392,4584209.609755304,1022.0879172827041,1967
2048,2,6,la Sagrada Família,Eixample,430801.3503169532,4584080.257844222,912.9794945374279,1285
2049,2,6,la Sagrada Família,Eixample,430988.338122288,4583980.655933811,789.6872195000648,2035
2050,2,6,la Sagrada Família,Eixample,431229.6106591801,4583841.261614998,686.3837310316059,1610
2051,2,6,la Sagrada Família,Eixample,431128.95903988,4583743.525424222,565.1261351642796,1857
2052,2,6,la Sagrada Família,Eixample,430977.3841093609,4583697.852299022,507.60456427150285,1788
2053,2,6,la Sagrada Família,Eixample,430859.0825820796,4583628.208759831,462.0193774987036,1856
2054,2,6,la Sagrada Família,Eixample,430746.4995300037,4583836.732940538,696.883881170716,1881
2055,2,7,la Dreta de l'Eixample,Eixample,430547.79855161096,4583643.605298877,439.6091734958294,1840
2056,2,7,la Dreta de l'Eixample,Eixample,430682.9628856372,4583525.985039399,413.59022065613715,1499
2057,2,7,la Dreta de l'Eixample,Eixample,430446.6967660801,4583463.41364405,237.16666740304706,1267
2058,2,7,la Dreta de l'Eixample,Eixample,430262.72145574365,4583552.67953299,344.69797028068706,1372
2059,2,7,la Dreta de l'Eixample,Eixample,430077.8848018699,4583371.863679636,342.79509275754594,1669
2060,2,7,la Dreta de l'Eixample,Eixample,430264.6242450803,4583356.713709228,177.12619955287775,1673
2061,2,7,la Dreta de l'Eixample,Eixample,430804.05138003675,4583370.871563163,260.72407940091847,1344
2062,2,7,la Dreta de l'Eixample,Eixample,430518.4159406407,4583278.925678641,123.22739844381448,1535
2063,2,7,la Dreta de l'Eixample,Eixample,430234.463484144,4583187.897056173,163.06603768546714,1171
2064,2,7,la Dreta de l'Eixample,Eixample,430359.29390894633,4583084.396107074,126.51925072922769,1300
2065,2,7,la Dreta de l'Eixample,Eixample,430548.1720139657,4583081.717160155,6.780121431759931,1813
2066,2,7,la Dreta de l'Eixample,Eixample,430928.62416884373,4583266.619195,106.49146995826315,1766
2067,2,7,la Dreta de l'Eixample,Eixample,431022.6754634256,4583170.87608027,24.443929263576877,1656
2068,2,7,la Dreta de l'Eixample,Eixample,431123.5714694124,4583076.284503094,162.19012156989857,1624
2069,2,7,la Dreta de l'Eixample,Eixample,430875.413977197,4583032.187080724,64.76114863192772,1357
2070,2,7,la Dreta de l'Eixample,Eixample,430595.1180289997,4582939.996174515,49.04750442526515,1270
2071,2,7,la Dreta de l'Eixample,Eixample,430688.5301360808,4582844.327904207,58.579486291210216,1674
2072,2,7,la Dreta de l'Eixample,Eixample,430786.50810457254,4582742.47159714,59.604130019537635,1204
2073,2,7,la Dreta de l'Eixample,Eixample,431079.8830110213,4582746.844077094,172.45827300489321,1638
2074,2,7,la Dreta de l'Eixample,Eixample,431270.53558979405,4582545.115774098,386.2053962562853,1282
