seccio,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop,snap_m,snapped,d_axis_net_m,egress_connector,A_car15_pre,A_car15_post,dA_car15,pct_car15,A_car15_drop,dA_car15_drop,pct_car15_drop,A_car15_turn_pre,A_car15_turn_post,pct_car15_turn,A_car30_pre,A_car30_post,dA_car30,pct_car30,H_car_pre,H_car_post,dH_car,pct_H,n_car15_pre,n_car15_post,n_car30_pre,n_car30_post,A_walk15,n_walk15,band_net,band_euclid
1023,2,el Barri Gòtic,Ciutat Vella,430934.7301605037,4581962.843950045,733.5099800299622,1962.0,105.8,True,862.3167098224709,0.0,1597052.0,1597052.0,0.0,0.0,1595376.0,-1676.0,-0.1049433581373681,1581810.0,1581810.0,0.0,1606885.0,1606885.0,0.0,0.0,1170615.4619964715,1170350.8364252409,-264.62557123065926,-0.022605678792192215,1045.0,1041.0,1051.0,1051.0,80597.0,42.0,500m-1km,500m-1km
1025,2,el Barri Gòtic,Ciutat Vella,431133.30515081104,4581670.553537052,1048.5015171201987,1299.0,117.8,True,1475.597183262065,0.0,1588606.0,1588606.0,0.0,0.0,1586930.0,-1676.0,-0.10550130114074856,1562605.0,1562605.0,0.0,1606885.0,1606885.0,0.0,0.0,1110633.373535472,1110384.8954515874,-248.47808388457634,-0.02237264697832712,1040.0,1034.0,1051.0,1051.0,68323.0,34.0,1-2km,1-2km
1026,2,el Barri Gòtic,Ciutat Vella,431396.925457801,4581523.680807862,1267.5708977005677,8923.0,27.1,True,1959.6132489726597,0.0,1490191.0,1490191.0,0.0,0.0,1488515.0,-1676.0,-0.11246880433447792,1052051.0,1052051.0,0.0,1615808.0,1615808.0,0.0,0.0,965191.0839703889,964936.7340688644,-254.3499015244888,-0.026352284614793647,968.0,960.0,1052.0,1051.0,66897.0,35.0,1-2km,1-2km
1027,2,el Barri Gòtic,Ciutat Vella,431272.492008581,4581417.481214692,1327.6283380089317,1485.0,23.1,True,1779.631939295678,0.0,1530029.0,1530029.0,0.0,0.0,1528353.0,-1676.0,-0.10954040740404267,1293350.0,1293350.0,0.0,1606885.0,1606885.0,0.0,0.0,988627.1587032535,988371.1744719379,-255.9842313155532,-0.02589289896216471,1004.0,996.0,1051.0,1050.0,70426.0,33.0,1-2km,1-2km
1028,2,el Barri Gòtic,Ciutat Vella,430919.7047976171,4581523.859021435,1129.7482177687127,1925.0,13.8,True,1339.64502495836,0.0,1925.0,1925.0,0.0,0.0,1925.0,0.0,0.0,1925.0,1925.0,0.0,1925.0,1925.0,0.0,0.0,1925.0,1925.0,0.0,0.0,1.0,1.0,1.0,1.0,94753.0,45.0,1-2km,1-2km
1029,2,el Barri Gòtic,Ciutat Vella,431083.23882112914,4581302.038708196,1402.2585739512276,1410.0,39.1,True,2006.9287406127987,0.0,1487192.0,1487192.0,0.0,0.0,1485516.0,-1676.0,-0.11269560352664619,1149373.0,1149373.0,0.0,1606885.0,1606885.0,0.0,0.0,990940.5524798656,990661.2744178869,-279.2780619787518,-0.028183129783098296,972.0,966.0,1051.0,1050.0,79501.0,38.0,2-3.5km,1-2km
1030,2,el Barri Gòtic,Ciutat Vella,431464.8602091031,4581021.915093964,1762.140781712209,2500.0,39.2,True,2845.7584542347445,0.0,1556412.0,1556412.0,0.0,0.0,1554736.0,-1676.0,-0.10768356964608343,1405172.0,1405172.0,0.0,1606885.0,1606885.0,0.0,0.0,1048396.5731575994,1048099.9950887633,-296.5780688361265,-0.02828872932528592,1021.0,1015.0,1051.0,1050.0,40615.0,20.0,2-3.5km,1-2km
1031,2,el Barri Gòtic,Ciutat Vella,431410.8894814902,4581273.028020853,1506.9673709728215,1638.0,4.1,True,1928.909548151956,0.0,1472951.0,1472951.0,0.0,0.0,1471275.0,-1676.0,-0.11378518362117952,1117542.0,1117542.0,0.0,1606885.0,1606885.0,0.0,0.0,973026.281463932,972754.6142664906,-271.6671974414494,-0.027919821141184614,961.0,954.0,1051.0,1050.0,63956.0,33.0,1-2km,1-2km
1032,3,la Barceloneta,Ciutat Vella,432083.7996313847,4580470.413265121,2513.878477499117,1726.0,37.7,True,3130.8489375099234,0.0,1571017.0,1571017.0,0.0,0.0,1569341.0,-1676.0,-0.1066824865676183,1439791.0,1438489.0,-0.09042979154613412,1606885.0,1606885.0,0.0,0.0,1005685.9367550857,1004342.4386368656,-1343.49811822013,-0.13359022624448924,1029.0,1020.0,1051.0,1050.0,11410.0,9.0,2-3.5km,2-3.5km
1033,3,la Barceloneta,Ciutat Vella,432197.8298132439,4581009.01710496,2119.365087946549,1055.0,38.7,True,2602.606699517917,0.0,1583572.0,1583572.0,0.0,0.0,1581896.0,-1676.0,-0.10583667809231283,1500446.0,1500446.0,0.0,1606885.0,1606885.0,0.0,0.0,1062747.875009529,1061341.8370596222,-1406.037949906895,-0.1323021182135309,1037.0,1029.0,1051.0,1050.0,18126.0,13.0,2-3.5km,2-3.5km
