intervention_id,intervention_name,id_priority,match_role,station_id,station_desc,n_lanes,lon,lat,n_years,years,n_pre,n_post,has_pre_post,pre_years,post_years
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,cross_street,4061,PAU CLARIS - CONSELL DE CENT  (sentit mar),3,2.16782623743917,41.392200590956,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,cross_street,4066,GIRONA - CONSELL DE CENT (sentit muntanaya),2,2.170492432,41.395294749,6,"2017,2018,2019,2020,2021,2022",2,2,1,"2018,2019","2021,2022"
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,on_street,4067,CONSELL DE CENT - BRUC (sentit Besòs),2,2.170175343,41.394429536,6,"2017,2018,2019,2020,2021,2022",2,2,1,"2018,2019","2021,2022"
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,cross_street,4072,CASANOVA - CONSELL DE CENT  (sentit muntanya),3,2.1580927938814,41.3859229631157,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,cross_street,7007,AV. MERIDIANA - CONSELL DE CENT (Entrada),2,2.1866805713494,41.4063190756375,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,cross_street,2015,TARRAGONA - CONSELL DE CENT (calçada Llobregat),2,2.147192326,41.376902176,2,"2018,2019",2,0,0,"2018,2019",
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,cross_street,4107,INDEPENDENCIA - CONSELL DE CENT (sentit muntanya),3,2.185349486,41.4062980115002,3,"2022,2024,2025",0,1,0,,2022
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,cross_street,4106,VILAMARI - CONSELL DE CENT (sentit muntanya),2,2.14950352907181,41.3787849800429,3,"2022,2023,2025",0,1,0,,2022
BCN-2020-GIRONA-TAC,Girona tactical sidewalk,C,cross_street,4025,AV. DIAGONAL - GIRONA (Baixada),2,2.167817154,41.398487563,4,"2017,2018,2019,2020",2,0,0,"2018,2019",
BCN-2020-GIRONA-TAC,Girona tactical sidewalk,C,cross_street,4047,VALÈNCIA - GIRONA,3,2.16905147086661,41.397001041925,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GIRONA-TAC,Girona tactical sidewalk,C,on_street,4066,GIRONA - CONSELL DE CENT (sentit muntanaya),2,2.170492432,41.395294749,6,"2017,2018,2019,2020,2021,2022",2,2,1,"2018,2019","2021,2022"
BCN-2020-GIRONA-TAC,Girona tactical sidewalk,C,cross_street,4068,GRAN VIA - GIRONA,5,2.17356197276934,41.39342660503,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-GIRONA-TAC,Girona tactical sidewalk,C,cross_street,5013,RONDA SANT PERE - GIRONA  (sentit Llobregat),3,2.17644635091381,41.3902823026524,7,"2017,2018,2019,2020,2021,2022,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-ROGERDELLURIA,Roger de Llúria bike lane,C,on_street,4031,ROGER DE LLÚRIA - DIPUTACIÓ (sentit muntanya),3,2.16932663816795,41.3927596717768,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-ROGERDELLURIA,Roger de Llúria bike lane,C,on_street,4046,ROGER DE LLÚRIA - MALLORCA,3,2.16449119773735,41.3964376684823,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-ROGERDELLURIA,Roger de Llúria bike lane,C,on_street,4065,ROGER DE LLÚRIA - CASP  (sentit muntanya),3,2.17191220851891,41.3908288785469,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-PAUCLARIS,Pau Claris bike lane,C,on_street,4044,PAU CLARIS - PROVENÇA  (sentit mar),3,2.16347178849809,41.3954885003117,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-PAUCLARIS,Pau Claris bike lane,C,on_street,4059,PAU CLARIS - VALÈNCIA  (sentit mar),3,2.16561839478567,41.3938500206669,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-PAUCLARIS,Pau Claris bike lane,C,on_street,4061,PAU CLARIS - CONSELL DE CENT  (sentit mar),3,2.16782623743917,41.392200590956,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-PAUCLARIS,Pau Claris bike lane,C,cross_street,4062,GRAN VIA - PAU CLARIS (sentit Besós),5,2.17015825066685,41.390863780895,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-PAUCLARIS,Pau Claris bike lane,C,cross_street,4063,VALÈNCIA - PAU CLARIS,3,2.1656298097779,41.394411551482,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-PAUCLARIS,Pau Claris bike lane,C,on_street,4091,PAU CLARIS - CASP (sentit mar),3,2.17155203437734,41.3893950147936,7,"2017,2020,2021,2022,2023,2024,2025",0,2,0,,"2021,2022"
BCN-2020-INDUSTRIA,Carrer d'Indústria lane cut,C,on_street,6007,INDÚSTRIA - NÀPOLS  (sentit Besòs),3,2.16788571857009,41.404637037895,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-INDUSTRIA,Carrer d'Indústria lane cut,C,cross_street,6026,PG. SANT JOAN - INDÚSTRIA (Baixada),3,2.16549561683824,41.4022539572222,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,cross_street,2003,TARRAGONA - VALÈNCIA  (sentit mar),4,2.14530786309372,41.378572477309,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,cross_street,4010,PG. SANT JOAN - VALÈNCIA (Baixada),3,2.17128708260538,41.3980800150532,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,on_street,4028,VALÈNCIA - CASANOVA,3,2.1569036942764,41.3878538166451,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,on_street,4032,VALÈNCIA - SARDENYA  (sentit Besòs),3,2.17592696473159,41.4021296117717,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,on_street,4047,VALÈNCIA - GIRONA,3,2.16905147086661,41.397001041925,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,cross_street,4059,PAU CLARIS - VALÈNCIA  (sentit mar),3,2.16561839478567,41.3938500206669,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,on_street,4063,VALÈNCIA - PAU CLARIS,3,2.1656298097779,41.394411551482,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,on_street,4073,VALÈNCIA - RAMBLA DE CATALUNYA,3,2.16273962226169,41.3922436021376,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,cross_street,4078,AV. DIAGONAL - VALÈNCIA (Baixada),3,2.173914881,41.40006393,4,"2017,2018,2019,2020",2,0,0,"2018,2019",
BCN-2020-VALENCIA,Carrer de València bike lane,C,on_street,4085,VALÈNCIA - DOS DE MAIG  (sentit Besòs),3,2.18255362625234,41.4071224828227,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,on_street,7033,VALÈNCIA - TER  (sentit Besòs),3,2.18792226740502,41.4111647516047,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,cross_street,7037,MERIDIANA - VALÈNCIA (SORTIDA),3,2.186999,41.410514,7,"2019,2020,2021,2022,2023,2024,2025",1,2,1,2019,"2021,2022"
BCN-2020-VALENCIA,Carrer de València bike lane,C,cross_street,7038,MERIDIANA - VALÈNCIA (ENTRADA),3,2.18674458687986,41.4096142757266,7,"2019,2020,2021,2022,2023,2024,2025",1,2,1,2019,"2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,2006,ARAGÓ - ENTENÇA (sentit Llobregat),4,2.14793621,41.381069189,7,"2017,2018,2019,2020,2021,2022,2023",2,2,1,"2018,2019","2021,2022"
