station_id,desc,did_bin,q_pre,q_post,delta_q,edge_i,snap_m,is_tac2020_other
4054,LEPANT - DIPUTACIÓ  (sentit mar),500_1000m,18614.714285714286,18081.35,-533.3642857142877,29296,1.4,False
2001,PARÍS - VILADOMAT (sentit Besòs),500_1000m,9399.0,11521.91304347826,2122.91304347826,658,0.7,False
4096,ROSSELLÓ - ARIBAU (sentit Besòs),500_1000m,7768.142857142857,7560.541666666667,-207.6011904761899,1135,4.5,False
4039,ROSSELLÓ - BALMES (sentit Besòs),500_1000m,14054.857142857143,13764.375,-290.4821428571431,53049,0.9,False
5020,ALMOGÀVERS - ROGER DE FLOR  (sentit Llobregat),500_1000m,3798.857142857143,3744.7391304347834,-54.11801242236015,28808,2.4,False
4076,ARAGÓ - PADILLA (sentit Llobregat),500_1000m,41140.142857142855,33760.181818181816,-7379.961038961039,52930,5.2,True
3030,VILADOMAT - PARLAMENT  (sentit mar),500_1000m,7359.142857142857,10332.2,2973.057142857144,33671,1.3,False
4006,PARÍS - VILLARROEL,500_1000m,11630.285714285714,28201.041666666668,16570.755952380954,31948,0.7,False
5018,PG. LLUÍS COMPANYS - REC COMTAL (Baixada),500_1000m,14789.4,15855.0,1065.6000000000004,31026,0.6,False
6007,INDÚSTRIA - NÀPOLS  (sentit Besòs),1_2km,4229.0,3806.1666666666665,-422.8333333333335,46217,0.8,True
4094,VILLARROEL - PARÍS  (sentit mar),500_1000m,10887.57142857143,11060.583333333334,173.0119047619046,33372,2.3,False
4037,GRAN VIA - LEPANT (Besòs),500_1000m,36152.57142857143,38782.65217391304,2630.080745341613,38966,1.9,True
3029,RONDA DE SANT PAU - MARQUES DE CAMPO SAGRADO  (sentit muntanya),500_1000m,13699.0,12991.916666666666,-707.0833333333339,30175,0.2,False
4055,PADILLA - GRAN VIA  (sentit muntanya),500_1000m,11948.142857142857,17094.0,5145.857142857143,55971,1.0,False
4007,AV. DIAGONAL - RAMBLA CATALUNYA (Baixada),500_1000m,16851.0,16558.25,-292.75,30241,20.2,False
4003,ARIBAU - CÒRSEGA  (sentit muntanya),500_1000m,19737.0,22039.434782608696,2302.434782608696,32484,0.1,False
4011,CASANOVA - PARÍS  (sentit muntanya),500_1000m,16509.285714285714,14872.666666666666,-1636.6190476190477,714,0.1,False
4012,LONDRES - CASANOVA,1_2km,4394.6,4377.958333333333,-16.641666666667334,30582,3.2,False
3032,COMTE BORRELL- MARQUÈS DE CAMPO SAGRADO  (sentit mar),1_2km,2914.8571428571427,3043.0,128.14285714285734,45613,0.2,False
6008,SANT ANTONI MARIA CLARET - SICÍLIA  (sentit Llobregat),1_2km,21402.33333333333,21970.13333333333,567.8000000000029,59599,0.6,False
